PassengerId,Survived
892,(array([[5, 4]]), ['False', 'True'], ['False'])
893,(array([[5, 4]]), ['False', 'True'], ['False'])
894,(array([[5, 2]]), ['False', 'True'], ['False'])
895,(array([[5, 4]]), ['False', 'True'], ['False'])
896,(array([[5, 4]]), ['False', 'True'], ['False'])
897,(array([[5, 4]]), ['False', 'True'], ['False'])
898,(array([[5, 4]]), ['False', 'True'], ['False'])
899,(array([[5, 4]]), ['False', 'True'], ['False'])
900,(array([[4, 5]]), ['False', 'True'], ['True'])
901,(array([[5, 4]]), ['False', 'True'], ['False'])
902,(array([[5, 4]]), ['False', 'True'], ['False'])
903,(array([[5, 4]]), ['False', 'True'], ['False'])
904,(array([[4, 5]]), ['False', 'True'], ['True'])
905,(array([[5, 4]]), ['False', 'True'], ['False'])
906,(array([[4, 5]]), ['False', 'True'], ['True'])
907,(array([[4, 5]]), ['False', 'True'], ['True'])
908,(array([[4, 3]]), ['False', 'True'], ['False'])
909,(array([[5, 4]]), ['False', 'True'], ['False'])
910,(array([[5, 4]]), ['False', 'True'], ['False'])
911,(array([[4, 5]]), ['False', 'True'], ['True'])
912,(array([[5, 4]]), ['False', 'True'], ['False'])
913,(array([[5, 4]]), ['False', 'True'], ['False'])
914,(array([[4, 5]]), ['False', 'True'], ['True'])
915,(array([[4, 5]]), ['False', 'True'], ['True'])
916,(array([[4, 5]]), ['False', 'True'], ['True'])
917,(array([[5, 4]]), ['False', 'True'], ['False'])
918,(array([[4, 5]]), ['False', 'True'], ['True'])
919,(array([[5, 4]]), ['False', 'True'], ['False'])
920,(array([[5, 4]]), ['False', 'True'], ['False'])
921,(array([[5, 4]]), ['False', 'True'], ['False'])
922,(array([[5, 4]]), ['False', 'True'], ['False'])
923,(array([[5, 4]]), ['False', 'True'], ['False'])
924,(array([[4, 5]]), ['False', 'True'], ['True'])
925,(array([[5, 4]]), ['False', 'True'], ['False'])
926,(array([[5, 4]]), ['False', 'True'], ['False'])
927,(array([[5, 4]]), ['False', 'True'], ['False'])
928,(array([[5, 4]]), ['False', 'True'], ['False'])
929,(array([[5, 4]]), ['False', 'True'], ['False'])
930,(array([[5, 4]]), ['False', 'True'], ['False'])
931,(array([[5, 4]]), ['False', 'True'], ['False'])
932,(array([[5, 4]]), ['False', 'True'], ['False'])
933,(array([[5, 4]]), ['False', 'True'], ['False'])
934,(array([[5, 4]]), ['False', 'True'], ['False'])
935,(array([[4, 5]]), ['False', 'True'], ['True'])
936,(array([[4, 5]]), ['False', 'True'], ['True'])
937,(array([[5, 4]]), ['False', 'True'], ['False'])
938,(array([[4, 5]]), ['False', 'True'], ['True'])
939,(array([[5, 4]]), ['False', 'True'], ['False'])
940,(array([[4, 5]]), ['False', 'True'], ['True'])
941,(array([[4, 5]]), ['False', 'True'], ['True'])
942,(array([[4, 5]]), ['False', 'True'], ['True'])
943,(array([[5, 4]]), ['False', 'True'], ['False'])
944,(array([[4, 5]]), ['False', 'True'], ['True'])
945,(array([[4, 5]]), ['False', 'True'], ['True'])
946,(array([[4, 5]]), ['False', 'True'], ['True'])
947,(array([[5, 4]]), ['False', 'True'], ['False'])
948,(array([[5, 4]]), ['False', 'True'], ['False'])
949,(array([[5, 4]]), ['False', 'True'], ['False'])
950,(array([[5, 4]]), ['False', 'True'], ['False'])
951,(array([[4, 5]]), ['False', 'True'], ['True'])
952,(array([[5, 4]]), ['False', 'True'], ['False'])
953,(array([[5, 4]]), ['False', 'True'], ['False'])
954,(array([[5, 4]]), ['False', 'True'], ['False'])
955,(array([[3, 4]]), ['False', 'True'], ['True'])
956,(array([[5, 4]]), ['False', 'True'], ['False'])
957,(array([[4, 5]]), ['False', 'True'], ['True'])
958,(array([[3, 5]]), ['False', 'True'], ['True'])
959,(array([[5, 4]]), ['False', 'True'], ['False'])
960,(array([[5, 4]]), ['False', 'True'], ['False'])
961,(array([[4, 5]]), ['False', 'True'], ['True'])
962,(array([[3, 4]]), ['False', 'True'], ['True'])
963,(array([[5, 4]]), ['False', 'True'], ['False'])
964,(array([[5, 4]]), ['False', 'True'], ['False'])
965,(array([[4, 5]]), ['False', 'True'], ['True'])
966,(array([[4, 5]]), ['False', 'True'], ['True'])
967,(array([[5, 4]]), ['False', 'True'], ['False'])
968,(array([[5, 4]]), ['False', 'True'], ['False'])
969,(array([[4, 5]]), ['False', 'True'], ['True'])
970,(array([[5, 4]]), ['False', 'True'], ['False'])
971,(array([[3, 4]]), ['False', 'True'], ['True'])
972,(array([[5, 4]]), ['False', 'True'], ['False'])
973,(array([[5, 4]]), ['False', 'True'], ['False'])
974,(array([[5, 4]]), ['False', 'True'], ['False'])
975,(array([[5, 4]]), ['False', 'True'], ['False'])
976,(array([[3, 2]]), ['False', 'True'], ['False'])
977,(array([[5, 4]]), ['False', 'True'], ['False'])
978,(array([[3, 4]]), ['False', 'True'], ['True'])
979,(array([[4, 5]]), ['False', 'True'], ['True'])
980,(array([[4, 5]]), ['False', 'True'], ['True'])
981,(array([[4, 5]]), ['False', 'True'], ['True'])
982,(array([[5, 4]]), ['False', 'True'], ['False'])
983,(array([[5, 4]]), ['False', 'True'], ['False'])
984,(array([[4, 5]]), ['False', 'True'], ['True'])
985,(array([[5, 4]]), ['False', 'True'], ['False'])
986,(array([[4, 5]]), ['False', 'True'], ['True'])
987,(array([[5, 4]]), ['False', 'True'], ['False'])
988,(array([[4, 5]]), ['False', 'True'], ['True'])
989,(array([[5, 4]]), ['False', 'True'], ['False'])
990,(array([[5, 4]]), ['False', 'True'], ['False'])
991,(array([[5, 4]]), ['False', 'True'], ['False'])
992,(array([[4, 5]]), ['False', 'True'], ['True'])
993,(array([[5, 4]]), ['False', 'True'], ['False'])
994,(array([[5, 4]]), ['False', 'True'], ['False'])
995,(array([[5, 4]]), ['False', 'True'], ['False'])
996,(array([[4, 5]]), ['False', 'True'], ['True'])
997,(array([[5, 4]]), ['False', 'True'], ['False'])
998,(array([[5, 4]]), ['False', 'True'], ['False'])
999,(array([[5, 4]]), ['False', 'True'], ['False'])
1000,(array([[5, 4]]), ['False', 'True'], ['False'])
1001,(array([[5, 4]]), ['False', 'True'], ['False'])
1002,(array([[4, 5]]), ['False', 'True'], ['True'])
1003,(array([[4, 5]]), ['False', 'True'], ['True'])
1004,(array([[4, 5]]), ['False', 'True'], ['True'])
1005,(array([[3, 5]]), ['False', 'True'], ['True'])
1006,(array([[4, 5]]), ['False', 'True'], ['True'])
1007,(array([[5, 4]]), ['False', 'True'], ['False'])
1008,(array([[5, 4]]), ['False', 'True'], ['False'])
1009,(array([[5, 4]]), ['False', 'True'], ['False'])
1010,(array([[5, 4]]), ['False', 'True'], ['False'])
1011,(array([[4, 5]]), ['False', 'True'], ['True'])
1012,(array([[4, 5]]), ['False', 'True'], ['True'])
1013,(array([[5, 4]]), ['False', 'True'], ['False'])
1014,(array([[4, 5]]), ['False', 'True'], ['True'])
1015,(array([[5, 4]]), ['False', 'True'], ['False'])
1016,(array([[5, 4]]), ['False', 'True'], ['False'])
1017,(array([[4, 5]]), ['False', 'True'], ['True'])
1018,(array([[5, 4]]), ['False', 'True'], ['False'])
1019,(array([[4, 5]]), ['False', 'True'], ['True'])
1020,(array([[5, 4]]), ['False', 'True'], ['False'])
1021,(array([[5, 4]]), ['False', 'True'], ['False'])
1022,(array([[5, 4]]), ['False', 'True'], ['False'])
1023,(array([[5, 4]]), ['False', 'True'], ['False'])
1024,(array([[5, 4]]), ['False', 'True'], ['False'])
1025,(array([[5, 4]]), ['False', 'True'], ['False'])
1026,(array([[5, 4]]), ['False', 'True'], ['False'])
1027,(array([[5, 4]]), ['False', 'True'], ['False'])
1028,(array([[5, 4]]), ['False', 'True'], ['False'])
1029,(array([[5, 4]]), ['False', 'True'], ['False'])
1030,(array([[5, 4]]), ['False', 'True'], ['False'])
1031,(array([[5, 4]]), ['False', 'True'], ['False'])
1032,(array([[4, 5]]), ['False', 'True'], ['True'])
1033,(array([[4, 5]]), ['False', 'True'], ['True'])
1034,(array([[5, 4]]), ['False', 'True'], ['False'])
1035,(array([[5, 4]]), ['False', 'True'], ['False'])
1036,(array([[5, 4]]), ['False', 'True'], ['False'])
1037,(array([[5, 4]]), ['False', 'True'], ['False'])
1038,(array([[5, 4]]), ['False', 'True'], ['False'])
1039,(array([[5, 4]]), ['False', 'True'], ['False'])
1040,(array([[5, 4]]), ['False', 'True'], ['False'])
1041,(array([[5, 4]]), ['False', 'True'], ['False'])
1042,(array([[4, 5]]), ['False', 'True'], ['True'])
1043,(array([[5, 4]]), ['False', 'True'], ['False'])
1044,(array([[5, 4]]), ['False', 'True'], ['False'])
1045,(array([[4, 5]]), ['False', 'True'], ['True'])
1046,(array([[5, 4]]), ['False', 'True'], ['False'])
1047,(array([[5, 4]]), ['False', 'True'], ['False'])
1048,(array([[4, 5]]), ['False', 'True'], ['True'])
1049,(array([[5, 4]]), ['False', 'True'], ['False'])
1050,(array([[5, 4]]), ['False', 'True'], ['False'])
1051,(array([[5, 4]]), ['False', 'True'], ['False'])
1052,(array([[4, 5]]), ['False', 'True'], ['True'])
1053,(array([[5, 4]]), ['False', 'True'], ['False'])
1054,(array([[4, 5]]), ['False', 'True'], ['True'])
1055,(array([[5, 4]]), ['False', 'True'], ['False'])
